Draw No,Draw Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Bonus Ball,Div1,Div2,Div3,Div4,Div5,Div6,Div7,Div1 No Win,Div2 No Win,Div3 No Win,Div4 No Win,Div5 No Win,Div6 No Win,Div7 No Win,Prize Payable,Rollover,Rollover Count,Next Estimated Jackpot,Next Guaranteed Jackpot,Total Sales,Draw Machine,Ball Set
1050,2011/01/15,38,45,35,21,39,14,4,1125276,348299,4604,1458,108,79,10.5,1,1,64,147,3218,4399,63481,3344172.5,0,0,1000000,0,6691560,Mooinooi,45
1049,2011/01/12,26,25,21,37,30,14,17,0,420039,9763,2299,156,99,10.5,0,1,39,140,2680,4203,49955,2481360.5,0,0,1000000,0,4974655,Dimakatso,44
1048,2011/01/08,16,24,49,27,43,34,26,0,122539,4145,2144,124,102,10.5,0,5,134,219,4912,5950,81504,3709441,0,0,1000000,0,7437750,Mandlakazi,34
1047,2011/01/05,37,30,44,22,5,7,40,0,485483,3827,2175,111,98,10.5,0,1,115,171,4349,4919,70965,3007446.5,0,0,1000000,0,6027490,Mooinooi,37
1046,2011/01/01,2,5,19,40,47,12,9,0,398498,4948,1427,121,75,10.5,0,1,73,214,3285,5249,55190,2435735,0,0,1000000,0,4883274,Mooinooi,50
1045,2010/12/29,22,27,41,12,2,20,33,0,152644,5426,1765,117,88,10.5,0,4,102,265,5213,6870,83649,3724548.5,0,0,1000000,0,7462962,Dimakatso,43
1044,2010/12/22,18,32,45,27,42,15,23,0,564409,5443,1825,133,93,10.5,0,1,94,237,4239,6023,73604,3405344,0,0,1000000,0,6820543,Mooinooi,49
1043,2010/12/18,7,20,18,40,43,15,16,1547764,239534,3166,995,71,54,10.5,1,2,128,296,6732,8806,114363,4880907.5,0,0,1000000,0,9771928,Dimakatso,27
1042,2010/12/15,22,21,11,46,1,9,17,0,450586,5374,2055,113,86,10.5,0,1,76,168,3959,5197,66520,2797019,0,0,1000000,0,5608008,Dimakatso,47
1041,2010/12/11,35,12,11,22,23,29,4,1090462,168762,3006,780,78,48,10.5,1,2,95,266,4312,7007,83723,3472799.5,0,0,1000000,0,6950862,Mandlakazi,35
